College Name,Region,Region Type,Location,District,Contact Number,Email Address,Website Link,Registrar Name,Registrar Contact Number,Status,Autonomous Status
"Government College of Engineering, Amravati",Amravati,Urban,"VMV Road, Near Kathora Naka,  Amravati",Amravati,2531930,principal@gcoea.ac.in,www.gcoea.ac.in,P. P. Bhatkar,2531929,Government,Autonomous
"Government Engineering College, Yavatmal",Amravati,Urban,"Post Box N. 24, Dhamangaon Road, Yavatmal ",Yavatmal,07232238,office.gpyavatmal@dtemaharashtra.gov.in,www.gpyavatmal.edu.in,Mahejabin M. Mujawar,07232243,Government,Non-Autonomous
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati,Rural,"S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,252216,principal@ssgmce.ac.in,www.ssgmce.org,PROF. A.V. PATIL,8669638081,Un-Aided,Non-Autonomous
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Urban,"Anjangaon Bari Road, Badnera,  Amravati",Amravati,2681246,principal@mitra.ac.in,www.mitra.ac.in,Mr. R. V. Adwanikar,2681246,Un-Aided,Non-Autonomous
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Urban,"Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",Amravati,2522343,sipnaoffice@gmail.com,www.sipnaengg.ac.in,Shyamsundar Bhojraj Gupta,2522342,Un-Aided,Non-Autonomous
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati,Rural,"Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",Akola,2456688,principalcoeta@gmail.com,www.coeta.ac.in,Mr. N. B. Gawande,2259069,Un-Aided,Non-Autonomous
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Amravati,Rural,"Kalra Road, Pusad  Dist Yavatmal ",Yavatmal,245229,principal@bncoepusad.ac.in,www.bncoepusad.ac.in,---,245229,Un-Aided,Non-Autonomous
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati,Rural,"Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana ",Buldhana,242580,annprincipal55@gmail.com,www.aecc.ac.in,Prof. Vijay D.Gurudasani,242063,Un-Aided,Non-Autonomous
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati,Rural,"MIDC, Lohara, Amaravati Road, Yavatmal",Yavatmal,7447797963,jdiet_yml@bsnl.in,www.jdiet.ac.in,Avinash Navghare,7447797962,Un-Aided,Non-Autonomous
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Urban,"Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",Amravati,2563422,principal@hvpmcoet.in,www.hvpmcoet.in,Mr. S.V.Dhole,2563422,Un-Aided,Non-Autonomous
